"Param","n_reps","Success_Count","Success_rate","CI_Lower","True_param","CI_Upper","alpha","N","Tfull","rho","beta","omega_var"
"omega",500,459,0.918,0.411756477843131,1,1.58824352215687,0.05,60,3,-0.5,1,1
"rho",500,457,0.914,-0.792031254981879,-0.5,-0.207968745018121,0.05,60,3,-0.5,1,1
"beta",500,463,0.927855711422846,0.601508796289432,1,1.39849120371057,0.05,60,3,-0.4,1,1
"omega",500,470,0.94188376753507,0.392473362544066,1,1.60752663745593,0.05,60,3,-0.4,1,1
"rho",500,445,0.891783567134269,-0.738049997968295,-0.4,-0.0619500020317055,0.05,60,3,-0.4,1,1
"beta",500,468,0.936,0.614960728611577,1,1.38503927138842,0.05,60,3,-0.3,1,1
"omega",500,470,0.94,0.400039825425276,1,1.59996017457472,0.05,60,3,-0.3,1,1
"rho",500,434,0.868,-0.68345079945062,-0.3,0.0834507994506197,0.05,60,3,-0.3,1,1
"beta",500,460,0.92,0.617846825417955,1,1.38215317458205,0.05,60,3,-0.2,1,1
"omega",500,473,0.946,0.404162387631756,1,1.59583761236824,0.05,60,3,-0.2,1,1
"rho",500,468,0.936,-0.672286804650851,-0.2,0.27228680465085,0.05,60,3,-0.2,1,1
"beta",500,461,0.922,0.622968524945019,1,1.37703147505498,0.05,60,3,-0.1,1,1
"omega",500,463,0.926,0.403791038105465,1,1.59620896189454,0.05,60,3,-0.1,1,1
"rho",500,456,0.912,-0.625967918809383,-0.1,0.425967918809383,0.05,60,3,-0.1,1,1
"beta",500,470,0.94,0.620837699568789,1,1.37916230043121,0.05,60,3,0,1,1
"omega",500,466,0.932,0.393535833778541,1,1.60646416622146,0.05,60,3,0,1,1
"rho",500,462,0.924,-0.569433002586374,0,0.569433002586374,0.05,60,3,0,1,1
"beta",500,468,0.937875751503006,0.624789144087937,1,1.37521085591206,0.05,60,3,0.1,1,1
"omega",500,462,0.925851703406814,0.394791118131147,1,1.60520888186885,0.05,60,3,0.1,1,1
"rho",500,475,0.95190380761523,-0.52196972836365,0.1,0.72196972836365,0.05,60,3,0.1,1,1
"beta",500,464,0.929859719438878,0.624643115689458,1,1.37535688431054,0.05,60,3,0.2,1,1
"omega",500,469,0.939879759519038,0.385187699606436,1,1.61481230039356,0.05,60,3,0.2,1,1
"rho",500,496,0.993987975951904,-0.478351007640273,0.2,0.878351007640273,0.05,60,3,0.2,1,1
"beta",500,461,0.922,0.624721208002706,1,1.37527879199729,0.05,60,3,0.3,1,1
"omega",500,465,0.93,0.374566162042436,1,1.62543383795756,0.05,60,3,0.3,1,1
"rho",500,498,0.996,-0.391825774340574,0.3,0.991825774340574,0.05,60,3,0.3,1,1
"beta",500,464,0.928,0.641324433367257,1,1.35867556663274,0.05,60,3,0.4,1,1
"omega",500,445,0.89,0.414752613850549,1,1.58524738614945,0.05,60,3,0.4,1,1
"rho",500,497,0.994,-0.303110501316384,0.4,1.10311050131638,0.05,60,3,0.4,1,1
"beta",500,470,0.94,0.640443671760171,1,1.35955632823983,0.05,60,3,0.5,1,1
"omega",500,454,0.908,0.415201893070334,1,1.58479810692967,0.05,60,3,0.5,1,1
"rho",500,489,0.978,-0.168585199487265,0.5,1.16858519948726,0.05,60,3,0.5,1,1
"beta",500,466,0.933867735470942,0.640111008432443,1,1.35988899156756,0.05,60,3,0.6,1,1
"omega",500,465,0.93186372745491,0.425729604546336,1,1.57427039545366,0.05,60,3,0.6,1,1
"rho",500,457,0.915831663326653,0.0699864289753951,0.6,1.1300135710246,0.05,60,3,0.6,1,1
"beta",500,464,0.928,0.628307488872418,1,1.37169251112758,0.05,60,3,0.7,1,1
"omega",500,460,0.92,0.362077207646709,1,1.63792279235329,0.05,60,3,0.7,1,1
"rho",500,442,0.884,0.30983031999568,0.7,1.09016968000432,0.05,60,3,0.7,1,1
"beta",500,473,0.946,0.623424062656305,1,1.37657593734369,0.05,60,3,0.8,1,1
"omega",500,460,0.92,0.356575178527373,1,1.64342482147263,0.05,60,3,0.8,1,1
