"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull","beta_estimate_sd","omega_estimate_sd","rho_estimate_sd"
0.0294106574428485,0.274540892601492,0.11281479327801,0.563950448235457,-0.0944115796779804,0.174408558837317,0.9,40,500,1,1,3,0.277294579652953,0.624977234620674,0.212135833922837
0.0302112118245264,0.285109453228828,0.0485632490048234,0.458490880831525,0.0110838199596734,0.0451624585873559,-0.9,50,500,1,1,3,0.274916430279344,0.469722454593186,0.0416525756313562
0.0202108735379331,0.260164229027406,0.0216917519265533,0.412988004080845,0.0228398342158933,0.0838546776648596,-0.8,50,500,1,1,3,0.24952042941664,0.405063196029812,0.0796106610445775
0.0486246657589365,0.257194588415229,0.0686619292999397,0.420474580538034,0.0258445810319513,0.118691302253785,-0.7,50,500,1,1,3,0.253375008239144,0.416177375793838,0.121033392302209
0.0322089670216312,0.248159299741939,0.0510678421331717,0.402802896088759,0.0283723116653431,0.151314450514258,-0.6,50,500,1,1,3,0.237337986953767,0.397922310347073,0.159159185599977
0.0331736690752409,0.244663754436765,0.0494026101740169,0.398148183732323,0.0488409141824508,0.194687208950466,-0.5,50,500,1,1,3,0.247831823094177,0.410993886101159,0.200254943518483
0.0118637136330961,0.236954895197702,0.0231389874022612,0.384852229119486,0.0724827510110481,0.229328139762139,-0.4,50,500,1,1,3,0.237077842929346,0.374556587421167,0.25656823200867
0.017438992148371,0.235738412847935,0.0476803639957136,0.394524744492012,0.0656980409149593,0.260199324115959,-0.3,50,500,1,1,3,0.221564524801266,0.418700037911458,0.272727021302488
0.00829002114940052,0.231071295452686,0.0391835446415138,0.385588960112516,0.0876169850749534,0.293510918246903,-0.2,50,500,1,1,3,0.223494409183135,0.376061630476801,0.31218672430866
0.0276179971313031,0.229626009830603,0.0190865932956489,0.377493812071158,0.096273698971103,0.322739757610912,-0.1,50,500,1,1,3,0.226379997562307,0.370285163856409,0.317713918726656
0.0080775243526132,0.228645171511459,0.0346362554739813,0.384670761168651,0.0697152539423738,0.342627085100578,0,50,500,1,1,3,0.213976024059937,0.367419282212921,0.325943272683173
0.0270669143945223,0.228569907726013,0.0393831979632831,0.388840380723386,0.0284489705350777,0.357612620721234,0.1,50,500,1,1,3,0.224480387145435,0.38980733614834,0.315664235464516
0.0210406007420624,0.226115481208071,0.0261591468978672,0.385793269331225,0.0075006614072579,0.368349864800814,0.2,50,500,1,1,3,0.228199532130699,0.397195302307817,0.306443002313893
0.0402704108391616,0.228275236641512,0.0436861389550899,0.392223654100834,-0.00686507673626012,0.381122926995531,0.3,50,500,1,1,3,0.217078935907046,0.391237714121413,0.290995084138364
